Operation,DN,Attribute: Value
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 33]","('1.3.6.1.4.1.4329.1.6.4.476', '1.3.6.1.4.1.4329.1.6.4.477')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 34]","('1.3.6.1.4.1.4329.1.6.4.477', '1.3.6.1.4.1.4329.1.6.4.478')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 35]","('1.3.6.1.4.1.4329.1.6.4.478', '1.3.6.1.4.1.4329.1.6.4.479')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 36]","('1.3.6.1.4.1.4329.1.6.4.479', '1.3.6.1.4.1.4329.1.6.4.480')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 37]","('1.3.6.1.4.1.4329.1.6.4.480', '1.3.6.1.4.1.4329.1.6.4.481')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 38]","('1.3.6.1.4.1.4329.1.6.4.481', '1.3.6.1.4.1.4329.1.6.4.482')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 39]","('1.3.6.1.4.1.4329.1.6.4.482', '1.3.6.1.4.1.4329.1.6.4.483')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 40]","('1.3.6.1.4.1.4329.1.6.4.483', '1.3.6.1.4.1.4329.1.6.4.484')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 41]","('1.3.6.1.4.1.4329.1.6.4.484', '1.3.6.1.4.1.4329.1.6.4.485')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 42]","('1.3.6.1.4.1.4329.1.6.4.485', '1.3.6.1.4.1.4329.1.6.4.486')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 43]","('1.3.6.1.4.1.4329.1.6.4.486', '1.3.6.1.4.1.4329.1.6.4.487')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 44]","('1.3.6.1.4.1.4329.1.6.4.487', '1.3.6.1.4.1.4329.1.6.4.488')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 45]","('1.3.6.1.4.1.4329.1.6.4.488', '1.3.6.1.4.1.4329.1.6.4.489')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 46]","('1.3.6.1.4.1.4329.1.6.4.489', '1.3.6.1.4.1.4329.1.6.4.490')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 47]","('1.3.6.1.4.1.4329.1.6.4.490', '1.3.6.1.4.1.4329.1.6.4.491')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 48]","('1.3.6.1.4.1.4329.1.6.4.491', '1.3.6.1.4.1.4329.1.6.4.492')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 49]","('1.3.6.1.4.1.4329.1.6.4.492', '1.3.6.1.4.1.4329.1.6.4.493')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 50]","('1.3.6.1.4.1.4329.1.6.4.493', '1.3.6.1.4.1.4329.1.6.4.494')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 51]","('1.3.6.1.4.1.4329.1.6.4.494', '1.3.6.1.4.1.4329.1.6.4.495')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 52]","('1.3.6.1.4.1.4329.1.6.4.495', '1.3.6.1.4.1.4329.1.6.4.496')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 53]","('1.3.6.1.4.1.4329.1.6.4.496', '1.3.6.1.4.1.4329.1.6.4.497')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 54]","('1.3.6.1.4.1.4329.1.6.4.497', '1.3.6.1.4.1.4329.1.6.4.498')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 55]","('1.3.6.1.4.1.4329.1.6.4.498', '1.3.6.1.4.1.4329.1.6.4.499')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 56]","('1.3.6.1.4.1.4329.1.6.4.499', '1.3.6.1.4.1.4329.1.6.4.500')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 57]","('1.3.6.1.4.1.4329.1.6.4.500', '1.3.6.1.4.1.4329.1.6.4.501')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 58]","('1.3.6.1.4.1.4329.1.6.4.501', '1.3.6.1.4.1.4329.1.6.4.502')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 59]","('1.3.6.1.4.1.4329.1.6.4.502', '1.3.6.1.4.1.4329.1.6.4.503')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 60]","('1.3.6.1.4.1.4329.1.6.4.503', '1.3.6.1.4.1.4329.1.6.4.504')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 61]","('1.3.6.1.4.1.4329.1.6.4.504', '1.3.6.1.4.1.4329.1.6.4.505')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 62]","('1.3.6.1.4.1.4329.1.6.4.505', '1.3.6.1.4.1.4329.1.6.4.506')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 63]","('1.3.6.1.4.1.4329.1.6.4.506', '1.3.6.1.4.1.4329.1.6.4.507')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 64]","('1.3.6.1.4.1.4329.1.6.4.507', '1.3.6.1.4.1.4329.1.6.4.508')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 65]","('1.3.6.1.4.1.4329.1.6.4.508', '1.3.6.1.4.1.4329.1.6.4.509')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 66]","('1.3.6.1.4.1.4329.1.6.4.509', '1.3.6.1.4.1.4329.1.6.4.510')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 67]","('1.3.6.1.4.1.4329.1.6.4.510', '1.3.6.1.4.1.4329.1.6.4.511')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 68]","('1.3.6.1.4.1.4329.1.6.4.511', '1.3.6.1.4.1.4329.1.6.4.512')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 69]","('1.3.6.1.4.1.4329.1.6.4.512', '1.3.6.1.4.1.4329.1.6.4.513')"
change,"['objectClassId=1.3.6.1.4.1.4329.1.6.6.46,configType=objectClass,config=sdf,', 'optAttrIds', 70]","('1.3.6.1.4.1.4329.1.6.4.513', '1.3.6.1.4.1.4329.1.6.4.514')"
